Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,2753.14455,2816.36185,2953.69968,3113.64521,3139.35779,3096.3287,3292.5916,3448.56255,3343.57681,3318.82898,3441.73001,3597.33277
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,3460.0852,3570.03017,3593.34925,3807.67752,3847.93316,3784.06672,3711.89798,3500.28969,3184.16393,3000.79117,2978.59944,2959.98935
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,9057.77596,8957.00822,8998.43288,8765.83288,8722.42077,8324.68767,8316.16438,8469.32055,8563.59563,9133.79726,9684.53151,10136.20821
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,831.74536,876.07288,865.5894,865.75903,825.08217,797.08576,802.28451,781.22503,801.04257,801.65766,790.50851,763.68127
Aruba,2.35606,2.36251,2.36251,2.36251,2.35606,2.35094,2.23502,2.47712,2.46486,2.81073,2.81073,2.81073
Bahamas The,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,1.53,1.271,1,1,1.00223,1,1.03372,1.10849,1.101,0.766,1.001,1.001
Belize,0,0,0,0,0,0,2.25731,2.9998,3.51066,3.9895,4.25168,4
Bolivia,40.43515,44.85325,47.22013,42.92015,61.33813,62.66462,61.31639,61.82555,51.5574,45.9594,47.87652,49.27474
Brazil,1534.1069,1573.48551,1757.89225,1846.89884,1839.48343,2037.52243,2169.46364,2283.50454,2431.46922,2561.71301,2712.47255,2685.15441
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,16.36189,17.17186,17.14158,16.93329,15.75985,15.32121,13.03867,10.67046,12.12632,12.97693,18.42176,18.36149
Colombia,704.116,636.82415,588.27609,554.6763,541.95644,540.6865,548.35198,546.10839,603.67398,690.2767,805.88982,938.54322
Costa Rica,-0.00013,0.07138,0.47779,0.72921,1.02257,1.87715,1.85578,2.63658,2.30845,1.22606,0.39068,0.29068
Cuba,43.87799,51.46238,48.54399,56.27552,59.2131,53.45519,52.24967,51.63393,50.69913,46.34204,51.52764,53.72764
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,-0.15427,-0.09473,-0.06702,0.01195,-0.44867,-0.38925,-0.30857,-0.39215,-0.26603,0.03457,0.0611,0.0611
Ecuador,396.31137,412.51131,392.71859,411.34177,529.00582,532.7553,536.37993,511.42215,505.26878,485.70685,487.308,500.60436
El Salvador,-0.59126,-0.6693,-0.27777,-0.10589,-0.20429,0.96612,5.30788,4.29737,4.18243,1.77155,-0.51666,-0.51366
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,20.50404,20.94088,17.90308,21.99452,19.81148,17.17389,21.46499,18.74113,18.44183,16.54395,14.98025,14.97264
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
