Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,69616.47391,68336.69042,68618.88213,68554.94807,66222.45724,66434.10102,64905.19516,63615.49087,62484.51941,54423.31644,53841.29604,47122.70831
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,15195.36209,16295.46883,17541.08066,19396.27068,16797.0205,20638.57558,20543.77681,20582.35771,17075.00138,17910.49827,19784.38349,21629.06848
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0
United States,,1084094.875,1060145.532,1066354.573,1094860.843,1107254.539,1125977.612,1112291.765,1127998.129,1120548.443,997477.607,1051306.983,1003065.891
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,1131.80921,867.28755,1071.98677,790.01553,960.23445,829.64362,1147.83682,1688.741,1923.78685,1956.10662,1514.70809,2267.2781
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0,0,0,0,0,0
Belize,,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,,24145.02802,23725.04739,22091.42196,22354.87437,24183.91756,23757.56558,23616.46972,24658.04373,24610.20341,19470.56647,25823.16479,27569.97555
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,5095.31301,3970.59166,4024.53877,3982.65094,5696.44748,5689.02893,6678.90453,6254.51465,9045.30246,7977.44936,9482.08231,8953.49095
Colombia,,4043.55364,3581.40961,3587.58255,4104.44532,3217.15082,4568.89319,4176.65774,3288.41525,3927.53537,5049.39071,4968.1173,5532.05979
Costa Rica,,0.49604,0.70857,31.40485,84.95514,67.30713,33.06934,67.17485,137.78892,133.99697,116.38203,103.90387,107.87219
Cuba,,41.7776,28.3294,45.96638,26.29013,32.18749,45.42625,40.78552,44.57747,39.40763,30.46789,26.49957,26.88537
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,102.11812,223.31726,257.30152,1165.36357,856.6282,524.19314,892.79504,919.31665,957.51174,940.00703,897.95386,1089.05055
