Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,63.874,61.01,59.733,60.118,59.069,56.6,56.577,57.946,58.2,57.906,61.95,61.95
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,30.064,30.394,29.505,8.776,14.985,14.85,15.985,14.557,13.85,13.162,12.702,11.966
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,167.406,177.427,183.46,186.946,189.044,192.513,204.385,211.085,237.726,244.656,272.509,304.625
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,24.247,26.42,27.46,26.96,23.43,21.63,18.866,16.09,15.75,15.6,14.07,13.379
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.004,0.004
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,4.34,18.3,24,24,24,24,24,24,26.5,26.5,26.5,26.5
Brazil,7.979,8.228,7.805,8.092,8.475,8.829,11.515,10.82,12.28,12.89,12.862,12.94
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46
Colombia,6.937,6.937,4.322,4.507,4.507,4.04,4.04,3.996,4.342,3.739,3.955,4
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0.636,0.636,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,3.67,3.67,3.67,0.345,0.345,0.345,0.345,NA,NA,0.315,0.282,0.282
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.109,0.109,0.109,0.109,0.109,0.109,0.109,NA,NA,NA,NA,NA
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0
Peru,9,8.7,8.655,8.655,8.725,8.715,8.723,8.723,11.928,11.842,11.8,12.2
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0
