Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,35695.04644,32820.21842,29834.05695,31367.37205,28652.37917,31259.34553,31242.81086,34131.96894,36485.40369,31777.43187,36919.71436,37567.87344
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,6.61387,9.9208,4.40925,2.20462,3.30693,6.61387,6.61387,12.12542,11.02311,5.51156,6.61387,9.9208
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0
United States,,59833.52122,50011.72859,40393.07541,43735.28897,49316.47877,51689.57545,51263.7625,60606.9139,83478.05359,60403.7546,83178.49482,108228.6441
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,356.63079,283.29402,213.98068,238.29767,188.13148,250.6656,156.12036,89.28722,110.72718,115.13642,74.3509,73.81077
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0,0,0,0,0,0
Belize,,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,,0,0,0,0,0,1.10231,70.54793,2.20462,83.77566,0,0,92.74848
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,47.39939,0,149.91434,73.85486,40.78552,42.99014,8.81849,50.70632,13.72378,0,0,0
Colombia,,39521.99591,43336.26879,40500.46258,50443.97243,56357.87288,59119.16283,68336.69042,71968.80635,75562.34138,74487.47758,76988.73228,89049.56179
Costa Rica,,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,,0,0,0,0,0,0,0,0,0,0,0,0
Panama,,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,,0,0,0,0,0,0,0,0,0,0,0,0
Peru,,0,0,0,0,0,0,0,0,0,6.61387,0,0
Puerto Rico,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,,8740.82202,8333.50695,8095.67225,7438.39705,7226.10291,7874.16278,8365.485,7005.03437,5213.00679,3259.78822,2708.37901,2282.88683
Virgin Islands  U.S.,,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands British,,0,0,0,0,0,0,0,0,0,0,0,0
Albania,,0,0,0,0,0,0,0,0,0,11.02311,11.02311,0
