Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,3575.50249,3822.4956,3804.48495,3583.41305,3717.29222,3752.96037,3605.73213,3782.73091,3589.09877,3271.12251,3263.106,3274.33617
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,8.4756,8.89938,1.58918,0,0,8.97001,12.28962,50.6064,39.27028,24.26141,30.3709,8.82875
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,244,373,516,680,854,729,724,822,963,1072,1137,1506
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,148.323,209.0648,206.2396,228.1349,274.39755,244.73295,216.8341,91.46585,33.54925,31.0772,14.8323,7.063
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,72.7489,136.3159,168.8057,175.8687,279.34165,361.6256,381.402,408.9477,416.36385,345.73385,411.41975,470.3958
Brazil,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,3.5315,52.9725,63.567,76.9867,74.51465
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
