Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,57.45751,138.08165,233.079,341.8492,383.55622,336.34006,340.8957,482.19101,562.2148,700.57897,786.1119,1106.34832
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,101.10685,136.35122,254.30332,342.87334,397.47033,318.57662,352.51433,398.95356,489.60716,458.70654,532.19705,638.4952
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,3782,3977,4015,3944,4259,4341,4186,4608,3984,3751,3741,3469
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,28.252,61.4481,63.567,59.3292,45.9095,93.9379,127.48715,267.33455
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,75.92725,162.449,185.7569,187.8758,266.9814,312.1846,334.0799,353.8563,389.52445,298.0586,444.969,370.1012
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,143.73205,181.5191,188.5821,214.0089,254.268,229.5475,196.3514,98.28165,27.5457,51.59522,126.32176,139.74146
Colombia,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,10.5945,4.59095,8.82875,8.82875,16.9512,16.59805,19.7764,28.9583,32.84295
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,12.36025,22.24845,22.24845,26.1331,24.0142,23.66105,25.4268,26,28.486,26.723,27.193,26.48625
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,1.4126,1.4126,0.7063,2.1189,4.2378,3.17835,4.2378,3.17835,2.47205,1.4126,2.8252,2.8252
Venezuela,0,0,0,0,0,0,0,3.5315,52.9725,63.567,76.9867,63.46106
Virgin Islands  U.S.,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands British,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0
Austria,219.58867,222.34324,231.4192,284.28575,296.89321,329.8421,361.76686,353.6091,359.93048,410.85471,438.50636,472.55002
Belgium,549.64266,543.67443,565.14595,589.58393,602.68579,613.38624,622.17967,616.74116,641.85013,745.07587,809.06665,772.97472
Bosnia and Herzegovina,10.5945,10.5945,5.6504,5.6504,10.5945,14.126,14.126,11.3008,10.94765,7.41615,8.12245,9.8882
Bulgaria,190.701,204.827,173.0435,190.701,187.1695,190.701,197.764,107.71075,109.4765,72.7489,87.93435,88.35229
Croatia,39.19965,38.1402,38.1402,42.378,39.19965,40.61225,40.61225,37.4339,43.29619,36.83355,39.72937,28.9583
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,325.21584,336.23412,343.75621,336.37538,311.37236,330.51309,346.22826,304.69782,338.0705,341.95515,300.53065,329.17112
Denmark,0,0,0,0,0,0,0,0,0,0,5.36788,13.03124
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0
Finland,148.64084,161.00108,160.01227,177.38725,171.59559,156.26888,168.34661,161.67207,167.35779,150.79505,166.08645,145.42717
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,0,0,59.68235,66.03905,74.1615,75.92725,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,1449.3276,1430.9638,1489.93985,1481.1111,1581.4057,1731.49445,1750.9177,1656.9798,1739.26375,1664.0428,1722.31255,1671.1058
Germany,2675.71161,2780.27932,2872.55742,2983.34057,3182.19934,3203.0705,3310.07495,3120.25683,3248.66217,3339.28046,3131.09853,3165.81318
Germany East,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0
Greece,72.32512,71.26567,75.15032,85.39167,92.63125,99.5883,116.32761,142.14288,149.0293,125.54483,135.99807,168.06409
Hungary,319.49481,338.56491,377.8705,429.99544,403.22667,423.92126,407.21727,370.70156,402.69695,340.26003,340.33066,283.19099
Iceland,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,99.83551,119.50596,122.61368,128.37003,121.4836,123.53187,147.8639,160.75388,169.44137,163.43782,180.77749,158.52904
Italy,2028.74081,1934.37913,2093.86167,2217.57011,2398.17102,2594.2399,2733.34569,2611.54425,2714.55811,2445.56375,2661.12651,2485.08124
Luxembourg,26.73346,27.68696,42.06017,42.55458,48.06372,47.28679,49.54695,46.33328,44.32033,44.81474,48.16966,41.77765
Macedonia,0,0,0,0,3.5315,3.5315,3.5315,2.8252,2.47205,2.8252,3.5315,4.2378
Malta,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,--,--,--,--,--,--,0,0,0,0,0,0
Netherlands,615.08136,755.4938,945.41787,900.10872,665.72307,810.5852,889.05513,921.4743,934.39959,906.07696,909.32594,812.56284
Norway,0,0,0,0,0,0,0,0,0,0,0,0
Poland,285.94556,310.13633,289.65363,324.898,351.84335,369.50085,385.71043,357.52906,395.59863,351.52551,384.75693,416.36385
Portugal,81.2245,90.1592,109.82965,106.86319,132.7844,157.64616,148.323,152.52549,168.20535,172.90224,182.2254,183.07296
Romania,120.071,190.701,176.575,201.2955,218.953,229.5475,208.3585,173.0435,157.5049,70.98315,80.5182,111.5954
Serbia,--,--,--,--,--,--,74.1615,74.1615,75.92725,54.73825,64.62645,65.33275
Slovakia,248.47634,247.27563,256.21033,239.96543,245.40394,261.29569,245.0861,221.35442,221.28379,207.58157,215.35087,208.60571
Slovenia,35.66815,36.7276,34.25555,35.63284,38.06957,39.51749,38.88182,39.5528,37.99894,35.98599,37.1867,31.92476
Spain,598.02421,611.93832,731.90338,818.49576,951.77457,1169.56217,1223.66475,1284.97159,1439.08625,1291.68144,1296.80212,1253.29403
Sweden,31.14783,34.18492,34.82059,34.71464,34.57339,32.91358,34.46744,35.56221,32.27791,43.0843,57.59877,45.98013
Switzerland,104.92087,109.2293,107.21634,113.32584,116.92797,120.03569,116.71608,113.64367,121.09514,116.22167,129.81794,115.16222
Turkey,507.8297,556.35251,604.23965,729.25475,767.46558,938.4255,1067.18398,1265.40708,1312.0582,1266.25464,1343.27666,1549.55157
United Kingdom,77.693,105.945,180.1065,263.09675,434.3745,583.4038,754.3284,1058.0374,1290.05695,1452.50595,1901.00645,1866.39775
Armenia,49.79415,49.441,38.49335,46.6158,46.96895,60.0355,60.0355,72.53701,68.15795,54.73825,61.09495,73.10205
Azerbaijan,10.3473,117.84616,138.08165,143.73205,174.10295,161.0364,158.2112,0,0,8.82875,8.82875,8.82875
Belarus,685.111,628.607,591.52625,628.607,572.8093,710.89095,734.552,727.489,745.1465,621.544,762.804,742.3213
Estonia,39.5528,44.85005,47.3221,49.79415,50.8536,53.6788,51.94837,34.82059,33.40799,23.0607,24.75582,22.14251
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,40.61225,38.8465,47.3221,35.66815,42.73115,51.5599,49.441,59.3292,60.7418,60.0355,57.9166,52.61935
Kazakhstan,296.646,293.1145,289.583,307.2405,413.1855,408.2414,459.095,381.402,336.09286,216.1278,370.8075,377.8705
Kyrgyzstan,67.0985,70.63,42.378,25.07365,31.43035,25.07365,26.48625,26.48625,25.4268,22.6016,15.89175,13.77285
Latvia,56.504,60.0355,60.0355,63.567,67.45165,68.5111,67.0985,58.26975,44.85005,55.0914,53.6788,54.03195
Lithuania,91.819,97.4694,102.06035,107.00445,103.1198,107.3576,102.76665,121.4836,124.66195,96.40995,109.82965,120.071
Moldova,75.22095,72.39575,77.693,84.0497,76.63355,86.52175,91.819,86.1686,88.9938,82.28395,76.63355,74.51465
Russia,314.3035,0,77.693,486.6407,794.5875,967.631,1889.3525,1818.7225,1984.703,1239.5565,1341.97,1123.017
Tajikistan,42.73115,44.14375,41.31855,46.26265,47.67525,49.08785,43.7906,22.6016,14.126,6.67454,6.53328,6.3567
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,2143.6205,1974.1085,2129.4945,2334.3215,2373.168,2394.357,1864.632,2309.601,2267.223,942.9105,1285.466,1582.112
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0
