Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Canada,4.93083,4.7061,4.858,180.021,178.893,178.8,178.7924,179.21,178.592,178.092,175.214,175.214
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,28.399,28.26,26.941,12.622,15.674,14.6,12.8822,12.352,11.65,10.5012,10.404,10.42
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
United States,21.765,22.045,22.446,22.677,21.891,21.371,21.757,20.972,21.317,19.121,20.682,23.267
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2.75342,3.0712,2.9737,2.87868,2.8205,2.6745,2.32045,2.468,2.58675,2.616,2.5203,2.50468
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0.00316,0.00251,0.00251,0.0025,0.00251,0.00251,0.0025,0.00285,0.0022,0.00217,0.00179,0.00179
Belize,NA,NA,NA,NA,NA,NA,NA,0.0067,0.0067,0.0067,0.0067,0.0067
Bolivia,0.13193,0.3965,0.4405,0.4405,0.4405,0.4405,0.4405,0.44,0.465,0.465,0.465,0.465
Brazil,7.35748,8.1,8.46474,8.3217,8.5,10.6,11.2433,11.77264,12.18162,12.6239,12.8015,12.857
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Colombia,2.5772,1.972,1.75,1.84229,1.84229,1.542,1.542,1.453,1.506,1.355,1.355,1.9
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0.2835,0.2835,0.75,0.75,0.75,0.75,0.75,0.124,0.124,0.124,0.124,0.124
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2.115,2.115,2.115,4.6296,4.6296,4.6296,4.6296,4.517,4.517,4.66,6.5,6.51
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.08307,0.08307,0.08307,0.08307,0.08307
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0.355,0.31,0.32339,0.32339,0.2853,0.9528,0.9296,0.9296,0.38287,0.41577,0.44738,0.53266
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0.074,0.074,0.074,0.17,0.111,0.111,0.111,0.111,0.088,0.0796,0.0796,0.0789
Trinidad and Tobago,0.605,0.686,0.716,0.716,0.99,0.99,0.99,0.7283,0.7283,0.7283,0.7283,0.7283
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0
