Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,18.12827,18.02149,18.35776,18.30739,18.66418,18.89322,19.22733,19.5439,19.01963,18.32485,18.3558,18.83425
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,9.37574,9.58779,9.64878,10.09708,10.00562,10.02794,10.30752,9.75793,9.17026,8.61485,8.77764,8.80367
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0
United States,,71.33218,71.73429,70.71322,69.96265,70.22242,69.44372,70.75387,71.40003,73.21778,72.64094,74.79513,78.001
Antarctica,,0,0,0,0,0,0.00002,0.00002,0.00002,0.00002,0.00004,0.00004,0.00004
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,3.49153,3.65955,3.57399,3.74536,3.755,3.74632,3.8218,3.66273,3.64405,3.55311,3.42873,NA
Aruba,,0,0,0,0,0,0,0,0,0,0.00029,0.00098,0.00088
Bahamas The,,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0.00436,0.0038,0.00322,0.00322,0.00323,0.00322,0.00329,0.00341,0.00355,0.00238,0.00288,0.00214
Belize,,0.00136,0.00136,0.00131,0.00104,0.00104,0.00109,0.00688,0.00842,0.00977,0.01262,0.01393,NA
Bolivia,,0.21619,0.27679,0.32105,0.3631,0.50477,0.59087,0.62026,0.65635,0.65736,0.57174,0.63945,NA
Brazil,,6.36028,6.15465,6.70199,7.05625,7.1452,7.67172,8.01022,8.31825,8.56489,8.92527,9.4673,9.92666
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,0.28219,0.31875,0.31778,0.34394,0.30488,0.38924,0.40649,0.33708,0.36245,0.39076,0.34388,0.33551
Colombia,,3.0757,3.0826,2.89052,3.11979,3.2301,3.3786,3.61104,3.75504,4.04401,4.19508,4.50611,5.16696
Costa Rica,,0.0693,0.0701,0.0743,0.0731,0.07918,0.07901,0.08019,0.08155,0.08594,0.08576,0.08654,NA
